season,date,home_team,away_team,team,player_name,shirt_number,position,is_starter,sub_minute_off,sub_minute_on,minutes_played,source
1999-00,2000-02-05,Italy,Scotland,Italy,Matt Pini,15,FB,True,,0,80,espn
1999-00,2000-02-05,Italy,Scotland,Italy,Denis Dallan,14,W,True,,0,80,espn
1999-00,2000-02-05,Italy,Scotland,Italy,Manuel Dallan,13,C,True,,0,80,espn
1999-00,2000-02-05,Italy,Scotland,Italy,Luca Martin,12,C,True,,0,80,espn
1999-00,2000-02-05,Italy,Scotland,Italy,Cristian Stoica,11,W,True,,0,80,espn
1999-00,2000-02-05,Italy,Scotland,Italy,Diego Dominguez,10,FH,True,,0,80,espn
1999-00,2000-02-05,Italy,Scotland,Italy,Alessandro Troncon,9,SH,True,,0,80,espn
1999-00,2000-02-05,Italy,Scotland,Italy,Massimo Cuttitta,1,P,True,,0,80,espn
1999-00,2000-02-05,Italy,Scotland,Italy,Alessandro Moscardi,2,H,True,,0,80,espn
1999-00,2000-02-05,Italy,Scotland,Italy,Tino Paoletti,3,P,True,,0,80,espn
1999-00,2000-02-05,Italy,Scotland,Italy,Carlo Checchinato,4,L,True,,0,80,espn
1999-00,2000-02-05,Italy,Scotland,Italy,Andrea Gritti,5,L,True,,0,80,espn
1999-00,2000-02-05,Italy,Scotland,Italy,Massimo Giovanelli,6,FL,True,,0,80,espn
1999-00,2000-02-05,Italy,Scotland,Italy,Mauro Bergamasco,7,FL,True,,0,80,espn
1999-00,2000-02-05,Italy,Scotland,Italy,Wim Visser,8,N8,True,,0,80,espn
1999-00,2000-02-05,Italy,Scotland,Italy,Carlo Orlandi,16,,False,,,0,espn
1999-00,2000-02-05,Italy,Scotland,Italy,Giampiero de Carli,17,P,False,,,0,espn
1999-00,2000-02-05,Italy,Scotland,Italy,Matteo Mazzantini,18,SH,False,,,0,espn
1999-00,2000-02-05,Italy,Scotland,Italy,Aaron Persico,19,FL,False,,,0,espn
1999-00,2000-02-05,Italy,Scotland,Italy,Giuseppe Lanzi,20,N8,False,,,0,espn
1999-00,2000-02-05,Italy,Scotland,Italy,Marco Rivaro,21,W,False,,,0,espn
1999-00,2000-02-05,Italy,Scotland,Italy,Andrea Scanavacca,22,,False,,,0,espn
1999-00,2000-02-05,Italy,Scotland,Scotland,Glenn Metcalfe,15,FB,True,,0,80,espn
1999-00,2000-02-05,Italy,Scotland,Scotland,Shaun Longstaff,14,W,True,,0,80,espn
1999-00,2000-02-05,Italy,Scotland,Scotland,Jamie Mayer,13,C,True,,0,80,espn
1999-00,2000-02-05,Italy,Scotland,Scotland,John Leslie,12,C,True,,0,80,espn
1999-00,2000-02-05,Italy,Scotland,Scotland,Kenny Logan,11,W,True,,0,80,espn
1999-00,2000-02-05,Italy,Scotland,Scotland,Gregor Townsend,10,FH,True,,0,80,espn
1999-00,2000-02-05,Italy,Scotland,Scotland,Bryan Redpath,9,SH,True,,0,80,espn
1999-00,2000-02-05,Italy,Scotland,Scotland,Tom Smith,1,P,True,,0,80,espn
1999-00,2000-02-05,Italy,Scotland,Scotland,Gordon Bulloch,2,H,True,,0,80,espn
1999-00,2000-02-05,Italy,Scotland,Scotland,Mattie Stewart,3,P,True,,0,80,espn
1999-00,2000-02-05,Italy,Scotland,Scotland,Scott Murray,4,L,True,,0,80,espn
1999-00,2000-02-05,Italy,Scotland,Scotland,Stuart Grimes,5,L,True,,0,80,espn
