season,tournament,date,home_team,away_team,home_score,away_score,venue,espn_match_id
1999-00,Six Nations,2000-02-05,Italy,Scotland,34,20,Stadio Flaminio,23722
1999-00,Six Nations,2000-02-05,England,Ireland,50,18,Allianz Stadium,23721
1999-00,Six Nations,2000-02-05,Wales,France,3,36,Principality Stadium,23720
1999-00,Six Nations,2000-02-19,France,England,9,15,Stade de France,23728
1999-00,Six Nations,2000-02-19,Wales,Italy,47,16,Principality Stadium,23730
1999-00,Six Nations,2000-02-19,Ireland,Scotland,44,22,Aviva Stadium,23729
1999-00,Six Nations,2000-03-04,Scotland,France,16,28,Scottish Gas Murrayfield,23736
1999-00,Six Nations,2000-03-04,England,Wales,46,12,Allianz Stadium,23735
1999-00,Six Nations,2000-03-04,Ireland,Italy,60,13,Aviva Stadium,23737
1999-00,Six Nations,2000-03-18,Italy,England,12,59,Stadio Flaminio,23743
1999-00,Six Nations,2000-03-18,Wales,Scotland,26,18,Principality Stadium,23742
1999-00,Six Nations,2000-03-19,France,Ireland,25,27,Stade de France,23745
1999-00,Six Nations,2000-04-01,France,Italy,42,31,Stade de France,23753
1999-00,Six Nations,2000-04-01,Ireland,Wales,19,23,Aviva Stadium,23752
1999-00,Six Nations,2000-04-02,Scotland,England,19,13,Scottish Gas Murrayfield,23757
2000,Rugby Championship / Tri Nations,2000-07-15,Australia,New Zealand,35,39,Accor Stadium,23836
2000,Rugby Championship / Tri Nations,2000-07-22,New Zealand,South Africa,25,12,Jade Stadium (Lancaster Park),23841
2000,Rugby Championship / Tri Nations,2000-07-29,Australia,South Africa,26,6,Accor Stadium,23843
2000,Rugby Championship / Tri Nations,2000-08-05,New Zealand,Australia,23,24,Sky Stadium,23844
2000,Rugby Championship / Tri Nations,2000-08-19,South Africa,New Zealand,46,40,Ellis Park,23845
2000,Rugby Championship / Tri Nations,2000-08-26,South Africa,Australia,18,19,Hollywoodbets Kings Park,23846
2000-01,Six Nations,2001-02-03,Italy,Ireland,22,41,Stadio Flaminio,23906
2000-01,Six Nations,2001-02-03,Wales,England,15,44,Principality Stadium,23905
2000-01,Six Nations,2001-02-04,France,Scotland,16,6,Stade de France,23907
2000-01,Six Nations,2001-02-17,Ireland,France,22,15,Aviva Stadium,23913
2000-01,Six Nations,2001-02-17,England,Italy,80,23,Allianz Stadium,23914
2000-01,Six Nations,2001-02-17,Scotland,Wales,28,28,Scottish Gas Murrayfield,23912
2000-01,Six Nations,2001-03-03,Italy,France,19,30,Stadio Flaminio,23919
2000-01,Six Nations,2001-03-03,England,Scotland,43,3,Allianz Stadium,23918
2000-01,Six Nations,2001-03-17,France,Wales,35,43,Stade de France,23926
2000-01,Six Nations,2001-03-17,Scotland,Italy,23,19,Scottish Gas Murrayfield,23927
2000-01,Six Nations,2001-04-07,England,France,48,19,Allianz Stadium,23934
2000-01,Six Nations,2001-04-08,Italy,Wales,23,33,Stadio Flaminio,23938
2001,Rugby Championship / Tri Nations,2001-07-21,South Africa,New Zealand,3,12,DHL Newlands,24036
2001,Rugby Championship / Tri Nations,2001-07-28,South Africa,Australia,20,15,Loftus Versfeld,24038
2001,Rugby Championship / Tri Nations,2001-08-11,New Zealand,Australia,15,23,Carisbrook,24040
2001,Rugby Championship / Tri Nations,2001-08-18,Australia,South Africa,14,14,Patersons Stadium,24042
