season,tournament,date,home_team,away_team,team,player_name,shirt_number,position,is_starter,sub_minute_off,sub_minute_on,minutes_played,espn_match_id,source
2017,British & Irish Lions,2017-06-03,Provincial Union XV,British and Irish Lions,Provincial Union XV,Luteru Laulala,15,FB,True,,0,80,290594,espn
2017,British & Irish Lions,2017-06-03,Provincial Union XV,British and Irish Lions,Provincial Union XV,Sam Vaka,14,W,True,,0,80,290594,espn
2017,British & Irish Lions,2017-06-03,Provincial Union XV,British and Irish Lions,Provincial Union XV,Inga Finau,13,C,True,,0,80,290594,espn
2017,British & Irish Lions,2017-06-03,Provincial Union XV,British and Irish Lions,Provincial Union XV,Dwayne Sweeney,12,C,True,,0,80,290594,espn
2017,British & Irish Lions,2017-06-03,Provincial Union XV,British and Irish Lions,Provincial Union XV,Sevu Reece,11,W,True,,0,80,290594,espn
2017,British & Irish Lions,2017-06-03,Provincial Union XV,British and Irish Lions,Provincial Union XV,Bryn Gatland,10,FH,True,,0,80,290594,espn
2017,British & Irish Lions,2017-06-03,Provincial Union XV,British and Irish Lions,Provincial Union XV,Jack Stratton,9,SH,True,,0,80,290594,espn
2017,British & Irish Lions,2017-06-03,Provincial Union XV,British and Irish Lions,Provincial Union XV,Aidan Ross,1,P,True,,0,80,290594,espn
2017,British & Irish Lions,2017-06-03,Provincial Union XV,British and Irish Lions,Provincial Union XV,Sam Anderson-Heather,2,H,True,,0,80,290594,espn
2017,British & Irish Lions,2017-06-03,Provincial Union XV,British and Irish Lions,Provincial Union XV,Oli Jager,3,P,True,,0,80,290594,espn
2017,British & Irish Lions,2017-06-03,Provincial Union XV,British and Irish Lions,Provincial Union XV,Josh Goodhue,4,L,True,,0,80,290594,espn
2017,British & Irish Lions,2017-06-03,Provincial Union XV,British and Irish Lions,Provincial Union XV,Keepa Mewett,5,L,True,,0,80,290594,espn
2017,British & Irish Lions,2017-06-03,Provincial Union XV,British and Irish Lions,Provincial Union XV,James Tucker,6,FL,True,,0,80,290594,espn
2017,British & Irish Lions,2017-06-03,Provincial Union XV,British and Irish Lions,Provincial Union XV,Lachlan Boshier,7,FL,True,,0,80,290594,espn
2017,British & Irish Lions,2017-06-03,Provincial Union XV,British and Irish Lions,Provincial Union XV,Mitch Dunshea,8,N8,True,,0,80,290594,espn
2017,British & Irish Lions,2017-06-03,Provincial Union XV,British and Irish Lions,Provincial Union XV,Andrew Makalio,16,R,False,,41,39,290594,espn
2017,British & Irish Lions,2017-06-03,Provincial Union XV,British and Irish Lions,Provincial Union XV,Tolu Fahamokioa,17,R,False,,50,30,290594,espn
2017,British & Irish Lions,2017-06-03,Provincial Union XV,British and Irish Lions,Provincial Union XV,Marcel Renata,18,R,False,,61,19,290594,espn
2017,British & Irish Lions,2017-06-03,Provincial Union XV,British and Irish Lions,Provincial Union XV,Matt Matich,19,R,False,,46,34,290594,espn
2017,British & Irish Lions,2017-06-03,Provincial Union XV,British and Irish Lions,Provincial Union XV,Peter Rowe,20,R,False,,61,19,290594,espn
2017,British & Irish Lions,2017-06-03,Provincial Union XV,British and Irish Lions,Provincial Union XV,Richard Judd,21,R,False,,54,26,290594,espn
2017,British & Irish Lions,2017-06-03,Provincial Union XV,British and Irish Lions,Provincial Union XV,Jonah Lowe,22,R,False,,19,61,290594,espn
2017,British & Irish Lions,2017-06-03,Provincial Union XV,British and Irish Lions,Provincial Union XV,Joe Webber,23,R,False,,58,22,290594,espn
2017,British & Irish Lions,2017-06-03,Provincial Union XV,British and Irish Lions,British and Irish Lions,Stuart Hogg,15,FB,True,,0,80,290594,espn
2017,British & Irish Lions,2017-06-03,Provincial Union XV,British and Irish Lions,British and Irish Lions,Anthony Watson,14,W,True,,0,80,290594,espn
2017,British & Irish Lions,2017-06-03,Provincial Union XV,British and Irish Lions,British and Irish Lions,Jonathan Joseph,13,C,True,,0,80,290594,espn
2017,British & Irish Lions,2017-06-03,Provincial Union XV,British and Irish Lions,British and Irish Lions,Ben Te'o,12,C,True,,0,80,290594,espn
2017,British & Irish Lions,2017-06-03,Provincial Union XV,British and Irish Lions,British and Irish Lions,Tommy Seymour,11,W,True,,0,80,290594,espn
2017,British & Irish Lions,2017-06-03,Provincial Union XV,British and Irish Lions,British and Irish Lions,Johnny Sexton,10,FH,True,,0,80,290594,espn
2017,British & Irish Lions,2017-06-03,Provincial Union XV,British and Irish Lions,British and Irish Lions,Greig Laidlaw,9,SH,True,,0,80,290594,espn
2017,British & Irish Lions,2017-06-03,Provincial Union XV,British and Irish Lions,British and Irish Lions,Joe Marler,1,P,True,,0,80,290594,espn
2017,British & Irish Lions,2017-06-03,Provincial Union XV,British and Irish Lions,British and Irish Lions,Rory Best,2,H,True,,0,80,290594,espn
2017,British & Irish Lions,2017-06-03,Provincial Union XV,British and Irish Lions,British and Irish Lions,Kyle Sinckler,3,P,True,,0,80,290594,espn
