season,tournament,date,home_team,away_team,home_score,away_score,venue,espn_match_id
2017,British & Irish Lions,2017-06-03,Provincial Union XV,British and Irish Lions,7,13,Semenoff Stadium,290594
2017,British & Irish Lions,2017-06-07,Blues,British and Irish Lions,22,16,Eden Park,290595
2017,British & Irish Lions,2017-06-10,Crusaders,British and Irish Lions,3,12,Apollo Projects Stadium,290596
2017,British & Irish Lions,2017-06-13,Highlanders,British and Irish Lions,23,22,Forsyth Barr Stadium,290597
2017,British & Irish Lions,2017-06-17,New Zealand Maori,British and Irish Lions,10,32,Rotorua International Stadium,290598
2017,British & Irish Lions,2017-06-20,Chiefs,British and Irish Lions,6,34,FMG Stadium Waikato,290599
2017,British & Irish Lions,2017-06-24,New Zealand,British and Irish Lions,30,15,Eden Park,290600
2017,British & Irish Lions,2017-06-27,Hurricanes,British and Irish Lions,31,31,Sky Stadium,290601
2017,British & Irish Lions,2017-07-01,New Zealand,British and Irish Lions,21,24,Sky Stadium,290602
2017,British & Irish Lions,2017-07-08,New Zealand,British and Irish Lions,15,15,Eden Park,290603
2021,British & Irish Lions,2021-06-26,British and Irish Lions,Japan,28,10,Scottish Gas Murrayfield,593824
2021,British & Irish Lions,2021-07-03,Lions,British and Irish Lions,14,56,Ellis Park,593819
2021,British & Irish Lions,2021-07-07,Sharks,British and Irish Lions,7,54,Ellis Park,593820
2021,British & Irish Lions,2021-07-10,Sharks,British and Irish Lions,31,71,Loftus Versfeld,593821
2021,British & Irish Lions,2021-07-14,Emerging Springboks,British and Irish Lions,17,13,DHL Stadium,593822
2021,British & Irish Lions,2021-07-17,Stormers,British and Irish Lions,3,49,DHL Stadium,593823
2021,British & Irish Lions,2021-07-31,South Africa,British and Irish Lions,27,9,DHL Stadium,593817
2021,British & Irish Lions,2021-08-07,South Africa,British and Irish Lions,19,16,DHL Stadium,593818
