season,tournament,date,home_team,away_team,team,player_name,shirt_number,position,is_starter,sub_minute_off,sub_minute_on,minutes_played,espn_match_id,source
2000,Rugby Championship / Tri Nations,2000-07-15,Australia,New Zealand,Australia,Chris Latham,15,FB,True,,0,80,23836,espn
2000,Rugby Championship / Tri Nations,2000-07-15,Australia,New Zealand,Australia,Stirling Mortlock,14,W,True,,0,80,23836,espn
2000,Rugby Championship / Tri Nations,2000-07-15,Australia,New Zealand,Australia,Dan Herbert,13,C,True,,0,80,23836,espn
2000,Rugby Championship / Tri Nations,2000-07-15,Australia,New Zealand,Australia,Jason Little,12,C,True,,0,80,23836,espn
2000,Rugby Championship / Tri Nations,2000-07-15,Australia,New Zealand,Australia,Joe Roff,11,W,True,,0,80,23836,espn
2000,Rugby Championship / Tri Nations,2000-07-15,Australia,New Zealand,Australia,Stephen Larkham,10,FH,True,,0,80,23836,espn
2000,Rugby Championship / Tri Nations,2000-07-15,Australia,New Zealand,Australia,George Gregan,9,SH,True,,0,80,23836,espn
2000,Rugby Championship / Tri Nations,2000-07-15,Australia,New Zealand,Australia,Richard Harry,1,P,True,,0,80,23836,espn
2000,Rugby Championship / Tri Nations,2000-07-15,Australia,New Zealand,Australia,Michael Foley,2,H,True,,0,80,23836,espn
2000,Rugby Championship / Tri Nations,2000-07-15,Australia,New Zealand,Australia,Fletcher Dyson,3,P,True,,0,80,23836,espn
2000,Rugby Championship / Tri Nations,2000-07-15,Australia,New Zealand,Australia,David Giffin,4,L,True,,0,80,23836,espn
2000,Rugby Championship / Tri Nations,2000-07-15,Australia,New Zealand,Australia,John Eales,5,L,True,,0,80,23836,espn
2000,Rugby Championship / Tri Nations,2000-07-15,Australia,New Zealand,Australia,Mark Connors,6,FL,True,,0,80,23836,espn
2000,Rugby Championship / Tri Nations,2000-07-15,Australia,New Zealand,Australia,David Wilson,7,FL,True,,0,80,23836,espn
2000,Rugby Championship / Tri Nations,2000-07-15,Australia,New Zealand,Australia,Jim Williams,8,N8,True,,0,80,23836,espn
2000,Rugby Championship / Tri Nations,2000-07-15,Australia,New Zealand,Australia,Jeremy Paul,16,H,False,,,0,23836,espn
2000,Rugby Championship / Tri Nations,2000-07-15,Australia,New Zealand,Australia,Toutai Kefu,17,N8,False,,,0,23836,espn
2000,Rugby Championship / Tri Nations,2000-07-15,Australia,New Zealand,Australia,Rod Kafer,18,C,False,,,0,23836,espn
