season,tournament,date,home_team,away_team,home_score,away_score,venue,espn_match_id
2000,Rugby Championship / Tri Nations,2000-07-15,Australia,New Zealand,35,39,Accor Stadium,23836
2000,Rugby Championship / Tri Nations,2000-07-22,New Zealand,South Africa,25,12,Jade Stadium (Lancaster Park),23841
2000,Rugby Championship / Tri Nations,2000-07-29,Australia,South Africa,26,6,Accor Stadium,23843
2000,Rugby Championship / Tri Nations,2000-08-05,New Zealand,Australia,23,24,Sky Stadium,23844
2000,Rugby Championship / Tri Nations,2000-08-19,South Africa,New Zealand,46,40,Ellis Park,23845
2000,Rugby Championship / Tri Nations,2000-08-26,South Africa,Australia,18,19,Hollywoodbets Kings Park,23846
2001,Rugby Championship / Tri Nations,2001-07-21,South Africa,New Zealand,3,12,DHL Newlands,24036
2001,Rugby Championship / Tri Nations,2001-07-28,South Africa,Australia,20,15,Loftus Versfeld,24038
2001,Rugby Championship / Tri Nations,2001-08-11,New Zealand,Australia,15,23,Carisbrook,24040
2001,Rugby Championship / Tri Nations,2001-08-18,Australia,South Africa,14,14,Patersons Stadium,24042
2001,Rugby Championship / Tri Nations,2001-08-25,New Zealand,South Africa,26,15,Eden Park,24043
2001,Rugby Championship / Tri Nations,2001-09-01,Australia,New Zealand,29,26,Accor Stadium,24045
2002,Rugby Championship / Tri Nations,2002-07-13,New Zealand,Australia,12,6,Jade Stadium (Lancaster Park),24251
2002,Rugby Championship / Tri Nations,2002-07-20,New Zealand,South Africa,41,20,Sky Stadium,24254
2002,Rugby Championship / Tri Nations,2002-07-27,Australia,South Africa,38,27,Wooloongabba,24256
2002,Rugby Championship / Tri Nations,2002-08-03,Australia,New Zealand,16,14,Accor Stadium,24259
2002,Rugby Championship / Tri Nations,2002-08-10,South Africa,New Zealand,23,30,Hollywoodbets Kings Park,24260
2002,Rugby Championship / Tri Nations,2002-08-17,South Africa,Australia,33,31,Ellis Park,24264
2003,Rugby Championship / Tri Nations,2003-07-12,South Africa,Australia,26,22,DHL Newlands,24478
2003,Rugby Championship / Tri Nations,2003-07-19,South Africa,New Zealand,16,52,Loftus Versfeld,24482
2003,Rugby Championship / Tri Nations,2003-07-26,Australia,New Zealand,21,50,Accor Stadium,24484
2003,Rugby Championship / Tri Nations,2003-08-02,Australia,South Africa,29,9,Suncorp Stadium,24485
2003,Rugby Championship / Tri Nations,2003-08-09,New Zealand,South Africa,19,11,Carisbrook,24488
2003,Rugby Championship / Tri Nations,2003-08-16,New Zealand,Australia,21,17,Eden Park,24489
2004,Rugby Championship / Tri Nations,2004-07-17,New Zealand,Australia,16,7,Sky Stadium,24744
2004,Rugby Championship / Tri Nations,2004-07-24,New Zealand,South Africa,23,21,Jade Stadium (Lancaster Park),24746
2004,Rugby Championship / Tri Nations,2004-07-31,Australia,South Africa,30,26,Patersons Stadium,24748
2004,Rugby Championship / Tri Nations,2004-08-07,Australia,New Zealand,23,18,Accor Stadium,24750
2004,Rugby Championship / Tri Nations,2004-08-14,South Africa,New Zealand,40,26,Ellis Park,24751
2004,Rugby Championship / Tri Nations,2004-08-21,South Africa,Australia,23,19,Hollywoodbets Kings Park,24754
2005,Rugby Championship / Tri Nations,2005-07-30,South Africa,Australia,22,16,Loftus Versfeld,24995
2005,Rugby Championship / Tri Nations,2005-08-06,South Africa,New Zealand,22,16,DHL Newlands,24997
2005,Rugby Championship / Tri Nations,2005-08-13,Australia,New Zealand,13,30,Accor Stadium,25008
2005,Rugby Championship / Tri Nations,2005-08-20,Australia,South Africa,19,22,Patersons Stadium,25014
2005,Rugby Championship / Tri Nations,2005-08-27,New Zealand,South Africa,31,27,Carisbrook,25017
2005,Rugby Championship / Tri Nations,2005-09-03,New Zealand,Australia,34,24,Eden Park,25019
2006,Rugby Championship / Tri Nations,2006-07-08,New Zealand,Australia,32,12,Jade Stadium (Lancaster Park),25248
2006,Rugby Championship / Tri Nations,2006-07-15,Australia,South Africa,49,0,Suncorp Stadium,25250
2006,Rugby Championship / Tri Nations,2006-07-22,New Zealand,South Africa,35,17,Sky Stadium,25252
2006,Rugby Championship / Tri Nations,2006-07-29,Australia,New Zealand,9,13,Suncorp Stadium,25257
2006,Rugby Championship / Tri Nations,2006-08-05,Australia,South Africa,20,18,Accor Stadium,25260
2006,Rugby Championship / Tri Nations,2006-08-19,New Zealand,Australia,34,27,Eden Park,25267
2006,Rugby Championship / Tri Nations,2006-08-26,South Africa,New Zealand,26,45,Loftus Versfeld,25270
2006,Rugby Championship / Tri Nations,2006-09-02,South Africa,New Zealand,21,20,Olympia Park,25271
2006,Rugby Championship / Tri Nations,2006-09-09,South Africa,Australia,24,16,Ellis Park,25272
2007,Rugby Championship / Tri Nations,2007-06-16,South Africa,Australia,22,19,DHL Newlands,25461
2007,Rugby Championship / Tri Nations,2007-06-23,South Africa,New Zealand,21,26,Hollywoodbets Kings Park,25467
2007,Rugby Championship / Tri Nations,2007-06-30,Australia,New Zealand,20,15,Melbourne Cricket Ground,25474
2007,Rugby Championship / Tri Nations,2007-07-07,Australia,South Africa,25,17,Accor Stadium,25477
