season,tournament,date,home_team,away_team,team,player_name,shirt_number,position,is_starter,sub_minute_off,sub_minute_on,minutes_played,espn_match_id,source
2003,Rugby World Cup,2003-10-10,Australia,Argentina,Australia,Mat Rogers,15,FB,True,,0,80,24536,espn
2003,Rugby World Cup,2003-10-10,Australia,Argentina,Australia,Wendell Sailor,14,W,True,,0,80,24536,espn
2003,Rugby World Cup,2003-10-10,Australia,Argentina,Australia,Matt Burke,13,C,True,,0,80,24536,espn
2003,Rugby World Cup,2003-10-10,Australia,Argentina,Australia,Elton Flatley,12,C,True,,0,80,24536,espn
2003,Rugby World Cup,2003-10-10,Australia,Argentina,Australia,Joe Roff,11,W,True,,0,80,24536,espn
2003,Rugby World Cup,2003-10-10,Australia,Argentina,Australia,Stephen Larkham,10,FH,True,,0,80,24536,espn
2003,Rugby World Cup,2003-10-10,Australia,Argentina,Australia,George Gregan,9,SH,True,,0,80,24536,espn
2003,Rugby World Cup,2003-10-10,Australia,Argentina,Australia,Bill Young,1,P,True,,0,80,24536,espn
2003,Rugby World Cup,2003-10-10,Australia,Argentina,Australia,Brendan Cannon,2,H,True,,0,80,24536,espn
2003,Rugby World Cup,2003-10-10,Australia,Argentina,Australia,Al Baxter,3,P,True,,0,80,24536,espn
2003,Rugby World Cup,2003-10-10,Australia,Argentina,Australia,David Giffin,4,L,True,,0,80,24536,espn
2003,Rugby World Cup,2003-10-10,Australia,Argentina,Australia,Nathan Sharpe,5,L,True,,0,80,24536,espn
2003,Rugby World Cup,2003-10-10,Australia,Argentina,Australia,George Smith,6,FL,True,,0,80,24536,espn
2003,Rugby World Cup,2003-10-10,Australia,Argentina,Australia,Phil Waugh,7,FL,True,,0,80,24536,espn
2003,Rugby World Cup,2003-10-10,Australia,Argentina,Australia,David Lyons,8,N8,True,,0,80,24536,espn
2003,Rugby World Cup,2003-10-10,Australia,Argentina,Australia,Jeremy Paul,16,H,False,,,0,24536,espn
2003,Rugby World Cup,2003-10-10,Australia,Argentina,Australia,Ben Darwin,17,P,False,,,0,24536,espn
2003,Rugby World Cup,2003-10-10,Australia,Argentina,Australia,Dan Vickerman,18,L,False,,,0,24536,espn
2003,Rugby World Cup,2003-10-10,Australia,Argentina,Australia,Matt Cockbain,19,FL,False,,,0,24536,espn
2003,Rugby World Cup,2003-10-10,Australia,Argentina,Australia,Chris Whitaker,20,SH,False,,,0,24536,espn
2003,Rugby World Cup,2003-10-10,Australia,Argentina,Australia,Matt Giteau,21,FH,False,,,0,24536,espn
2003,Rugby World Cup,2003-10-10,Australia,Argentina,Australia,Lote Tuqiri,22,OB,False,,,0,24536,espn
2003,Rugby World Cup,2003-10-10,Australia,Argentina,Argentina,Ignacio Corleto,15,FB,True,,0,80,24536,espn
2003,Rugby World Cup,2003-10-10,Australia,Argentina,Argentina,Jose Nunez Piossek,14,W,True,,0,80,24536,espn
2003,Rugby World Cup,2003-10-10,Australia,Argentina,Argentina,Manuel Contepomi,13,C,True,,0,80,24536,espn
2003,Rugby World Cup,2003-10-10,Australia,Argentina,Argentina,Jose Orengo,12,C,True,,0,80,24536,espn
2003,Rugby World Cup,2003-10-10,Australia,Argentina,Argentina,Diego Albanese,11,W,True,,0,80,24536,espn
2003,Rugby World Cup,2003-10-10,Australia,Argentina,Argentina,Felipe Contepomi,10,FH,True,,0,80,24536,espn
2003,Rugby World Cup,2003-10-10,Australia,Argentina,Argentina,Agustin Pichot,9,SH,True,,0,80,24536,espn
2003,Rugby World Cup,2003-10-10,Australia,Argentina,Argentina,Roberto Grau,1,P,True,,0,80,24536,espn
2003,Rugby World Cup,2003-10-10,Australia,Argentina,Argentina,Mario Ledesma Arocena,2,H,True,,0,80,24536,espn
2003,Rugby World Cup,2003-10-10,Australia,Argentina,Argentina,Omar Hasan Jalil,3,P,True,,0,80,24536,espn
2003,Rugby World Cup,2003-10-10,Australia,Argentina,Argentina,Ignacio Fernandez Lobbe,4,L,True,,0,80,24536,espn
2003,Rugby World Cup,2003-10-10,Australia,Argentina,Argentina,Patricio Albacete,5,L,True,,0,80,24536,espn
2003,Rugby World Cup,2003-10-10,Australia,Argentina,Argentina,Santiago Phelan,6,FL,True,,0,80,24536,espn
2003,Rugby World Cup,2003-10-10,Australia,Argentina,Argentina,Rolando Martin,7,FL,True,,0,80,24536,espn
2003,Rugby World Cup,2003-10-10,Australia,Argentina,Argentina,Gonzalo Longo Elia,8,N8,True,,0,80,24536,espn
2003,Rugby World Cup,2003-10-10,Australia,Argentina,Argentina,Federico Mendez Azpillaga,16,,False,,,0,24536,espn
2003,Rugby World Cup,2003-10-10,Australia,Argentina,Argentina,Mauricio Reggiardo,17,P,False,,,0,24536,espn
2003,Rugby World Cup,2003-10-10,Australia,Argentina,Argentina,Rimas Alvarez Kairelis,18,,False,,,0,24536,espn
2003,Rugby World Cup,2003-10-10,Australia,Argentina,Argentina,Martin Durand,19,FL,False,,,0,24536,espn
2003,Rugby World Cup,2003-10-10,Australia,Argentina,Argentina,Nicolas Fernandez Miranda,20,,False,,,0,24536,espn
2003,Rugby World Cup,2003-10-10,Australia,Argentina,Argentina,Gonzalo Quesada,21,,False,,,0,24536,espn
2003,Rugby World Cup,2003-10-10,Australia,Argentina,Argentina,Juan Martin Hernandez,22,FH,False,,,0,24536,espn
2003,Rugby World Cup,2003-10-11,New Zealand,Italy,New Zealand,Mils Muliaina,15,FB,True,,0,80,24541,espn
2003,Rugby World Cup,2003-10-11,New Zealand,Italy,New Zealand,Doug Howlett,14,W,True,,0,80,24541,espn
