season,tournament,date,home_team,away_team,home_score,away_score,venue,espn_match_id
2003,Rugby World Cup,2003-10-10,Australia,Argentina,24,8,Accor Stadium,24536
2003,Rugby World Cup,2003-10-11,New Zealand,Italy,70,7,Marvel Stadium,24541
2003,Rugby World Cup,2003-10-11,Ireland,Romania,45,17,Central Coast Stadium,24543
2003,Rugby World Cup,2003-10-11,France,Fiji,61,18,Suncorp Stadium,24542
2003,Rugby World Cup,2003-10-11,South Africa,Uruguay,72,6,Patersons Stadium,24544
2003,Rugby World Cup,2003-10-12,Wales,Canada,41,10,Marvel Stadium,24550
2003,Rugby World Cup,2003-10-12,Scotland,Japan,32,11,Dairy Farmers Stadium,24551
2003,Rugby World Cup,2003-10-12,England,Georgia,84,6,Patersons Stadium,24552
2003,Rugby World Cup,2003-10-14,Argentina,Namibia,67,14,Central Coast Stadium,24559
2003,Rugby World Cup,2003-10-15,United States of America,Fiji,18,19,Suncorp Stadium,24560
2003,Rugby World Cup,2003-10-15,Tonga,Italy,12,36,GIO Stadium,24561
2003,Rugby World Cup,2003-10-15,Samoa,Uruguay,60,13,Patersons Stadium,24562
2003,Rugby World Cup,2003-10-17,New Zealand,Canada,68,6,Marvel Stadium,24564
2003,Rugby World Cup,2003-10-18,Australia,Romania,90,8,Suncorp Stadium,24565
2003,Rugby World Cup,2003-10-18,France,Japan,51,29,Dairy Farmers Stadium,24566
2003,Rugby World Cup,2003-10-18,England,South Africa,25,6,Patersons Stadium,24567
2003,Rugby World Cup,2003-10-19,Wales,Tonga,27,20,GIO Stadium,24568
2003,Rugby World Cup,2003-10-19,Ireland,Namibia,64,7,Allianz Stadium,24569
2003,Rugby World Cup,2003-10-19,Samoa,Georgia,46,9,Patersons Stadium,24570
2003,Rugby World Cup,2003-10-20,Scotland,United States of America,39,15,Suncorp Stadium,24572
2003,Rugby World Cup,2003-10-21,Italy,Canada,19,14,GIO Stadium,24574
2003,Rugby World Cup,2003-10-22,Argentina,Romania,50,3,Allianz Stadium,24575
2003,Rugby World Cup,2003-10-23,Fiji,Japan,41,13,Dairy Farmers Stadium,24576
2003,Rugby World Cup,2003-10-24,New Zealand,Tonga,91,7,Suncorp Stadium,24577
2003,Rugby World Cup,2003-10-24,South Africa,Georgia,46,19,Allianz Stadium,24578
2003,Rugby World Cup,2003-10-25,Australia,Namibia,142,0,Adelaide Oval,24579
2003,Rugby World Cup,2003-10-25,Wales,Italy,27,15,GIO Stadium,24580
2003,Rugby World Cup,2003-10-25,Scotland,France,9,51,Accor Stadium,24581
2003,Rugby World Cup,2003-10-26,Ireland,Argentina,16,15,Adelaide Oval,24588
2003,Rugby World Cup,2003-10-26,England,Samoa,35,22,Marvel Stadium,24587
2003,Rugby World Cup,2003-10-27,United States of America,Japan,39,26,Central Coast Stadium,24589
2003,Rugby World Cup,2003-10-28,Uruguay,Georgia,24,12,Allianz Stadium,24590
2003,Rugby World Cup,2003-10-29,Tonga,Canada,7,24,WIN Stadium,24591
2003,Rugby World Cup,2003-10-30,Romania,Namibia,37,7,York Park,24592
2003,Rugby World Cup,2003-10-31,France,United States of America,41,14,WIN Stadium,24593
2003,Rugby World Cup,2003-11-01,Scotland,Fiji,22,20,Allianz Stadium,24594
2003,Rugby World Cup,2003-11-01,South Africa,Samoa,60,10,Suncorp Stadium,24595
2003,Rugby World Cup,2003-11-01,Australia,Ireland,17,16,Marvel Stadium,24596
2003,Rugby World Cup,2003-11-02,England,Uruguay,111,13,Suncorp Stadium,24597
2003,Rugby World Cup,2003-11-02,Wales,New Zealand,37,53,Accor Stadium,24598
2003,Rugby World Cup,2003-11-08,South Africa,New Zealand,9,29,Marvel Stadium,24600
2003,Rugby World Cup,2003-11-08,Australia,Scotland,33,16,Suncorp Stadium,24599
2003,Rugby World Cup,2003-11-09,Ireland,France,21,43,Marvel Stadium,24603
2003,Rugby World Cup,2003-11-09,England,Wales,28,17,Suncorp Stadium,24604
2003,Rugby World Cup,2003-11-15,Australia,New Zealand,22,10,Accor Stadium,24605
2003,Rugby World Cup,2003-11-16,England,France,24,7,Accor Stadium,24608
2003,Rugby World Cup,2003-11-20,New Zealand,France,40,13,Accor Stadium,24609
2003,Rugby World Cup,2003-11-22,Australia,England,17,20,Accor Stadium,24610
2007,Rugby World Cup,2007-09-07,France,Argentina,12,17,Stade de France,25506
