season,tournament,date,home_team,away_team,team,player_name,shirt_number,position,is_starter,sub_minute_off,sub_minute_on,minutes_played,espn_match_id,source
2020,2020 Tri Nations,2020-10-31,Australia,New Zealand,Australia,Dane Haylett-Petty,15,FB,True,,0,80,592923,espn
2020,2020 Tri Nations,2020-10-31,Australia,New Zealand,Australia,Filipo Daugunu,14,W,True,,0,80,592923,espn
2020,2020 Tri Nations,2020-10-31,Australia,New Zealand,Australia,Jordan Petaia,13,C,True,,0,80,592923,espn
2020,2020 Tri Nations,2020-10-31,Australia,New Zealand,Australia,Irae Simone,12,C,True,,0,80,592923,espn
2020,2020 Tri Nations,2020-10-31,Australia,New Zealand,Australia,Marika Koroibete,11,W,True,,0,80,592923,espn
2020,2020 Tri Nations,2020-10-31,Australia,New Zealand,Australia,Noah Lolesio,10,FH,True,,0,80,592923,espn
2020,2020 Tri Nations,2020-10-31,Australia,New Zealand,Australia,Nic White,9,SH,True,,0,80,592923,espn
2020,2020 Tri Nations,2020-10-31,Australia,New Zealand,Australia,James Slipper,1,P,True,,0,80,592923,espn
2020,2020 Tri Nations,2020-10-31,Australia,New Zealand,Australia,Brandon Paenga-Amosa,2,H,True,,0,80,592923,espn
2020,2020 Tri Nations,2020-10-31,Australia,New Zealand,Australia,Allan Alaalatoa,3,P,True,,0,80,592923,espn
2020,2020 Tri Nations,2020-10-31,Australia,New Zealand,Australia,Lukhan Salakaia-Loto,4,L,True,,0,80,592923,espn
2020,2020 Tri Nations,2020-10-31,Australia,New Zealand,Australia,Matt Philip,5,L,True,,0,80,592923,espn
2020,2020 Tri Nations,2020-10-31,Australia,New Zealand,Australia,Ned Hanigan,6,FL,True,,0,80,592923,espn
2020,2020 Tri Nations,2020-10-31,Australia,New Zealand,Australia,Michael Hooper,7,FL,True,,0,80,592923,espn
2020,2020 Tri Nations,2020-10-31,Australia,New Zealand,Australia,Harry Wilson,8,N8,True,,0,80,592923,espn
2020,2020 Tri Nations,2020-10-31,Australia,New Zealand,Australia,Jordan Uelese,16,R,False,,60,20,592923,espn
2020,2020 Tri Nations,2020-10-31,Australia,New Zealand,Australia,Scott Sio,17,R,False,,60,20,592923,espn
2020,2020 Tri Nations,2020-10-31,Australia,New Zealand,Australia,Taniela Tupou,18,R,False,,54,26,592923,espn
2020,2020 Tri Nations,2020-10-31,Australia,New Zealand,Australia,Rob Simmons,19,R,False,,45,35,592923,espn
2020,2020 Tri Nations,2020-10-31,Australia,New Zealand,Australia,Fraser McReight,20,R,False,,68,12,592923,espn
2020,2020 Tri Nations,2020-10-31,Australia,New Zealand,Australia,Tate McDermott,21,R,False,,60,20,592923,espn
2020,2020 Tri Nations,2020-10-31,Australia,New Zealand,Australia,Reece Hodge,22,R,False,,64,16,592923,espn
2020,2020 Tri Nations,2020-10-31,Australia,New Zealand,Australia,Hunter Paisami,23,R,False,,68,12,592923,espn
2020,2020 Tri Nations,2020-10-31,Australia,New Zealand,New Zealand,Beauden Barrett,15,FB,True,,0,80,592923,espn
2020,2020 Tri Nations,2020-10-31,Australia,New Zealand,New Zealand,Jordie Barrett,14,W,True,,0,80,592923,espn
2020,2020 Tri Nations,2020-10-31,Australia,New Zealand,New Zealand,Anton Lienert-Brown,13,C,True,,0,80,592923,espn
2020,2020 Tri Nations,2020-10-31,Australia,New Zealand,New Zealand,Jack Goodhue,12,C,True,,0,80,592923,espn
