season,date,home_team,away_team,team,player_name,shirt_number,position,is_starter,sub_minute_off,sub_minute_on,minutes_played,source
2009-10,,Wales,Italy,Wales,Lee Byrne,15,,True,,0,80,sky_sports
2009-10,,Wales,Italy,Wales,Tom Prydie,14,,True,,0,80,sky_sports
2009-10,,Wales,Italy,Wales,James Hook,13,,True,,0,80,sky_sports
2009-10,,Wales,Italy,Wales,Jamie Roberts,12,,True,63,0,63,sky_sports
2009-10,,Wales,Italy,Wales,Shane Williams,11,,True,,0,80,sky_sports
2009-10,,Wales,Italy,Wales,Stephen Jones,10,,True,70,0,70,sky_sports
2009-10,,Wales,Italy,Wales,Mike Phillips,9,,True,70,0,70,sky_sports
2009-10,,Wales,Italy,Wales,Gethin Jenkins,1,,True,,0,80,sky_sports
2009-10,,Wales,Italy,Wales,Matt Rees,2,,True,63,0,63,sky_sports
2009-10,,Wales,Italy,Wales,Adam Jones,3,,True,63,0,63,sky_sports
2009-10,,Wales,Italy,Wales,Bradley Davies,4,,True,15,0,15,sky_sports
2009-10,,Wales,Italy,Wales,Luke Charteris,5,,True,,0,80,sky_sports
2009-10,,Wales,Italy,Wales,Jonathan Thomas,6,,True,,0,80,sky_sports
2009-10,,Wales,Italy,Wales,Sam Warburton,7,,True,,0,80,sky_sports
2009-10,,Wales,Italy,Wales,Ryan Jones,8,,True,67,0,67,sky_sports
2009-10,,Wales,Italy,Wales,Huw Bennett,16,,False,,63,17,sky_sports
2009-10,,Wales,Italy,Wales,Paul James,17,,False,,63,17,sky_sports
2009-10,,Wales,Italy,Wales,Ian Gough,18,,False,,15,65,sky_sports
2009-10,,Wales,Italy,Wales,Gareth Delve,19,,False,,67,13,sky_sports
2009-10,,Wales,Italy,Wales,Dwayne Peel,20,,False,,70,10,sky_sports
2009-10,,Wales,Italy,Wales,Andrew Bishop,21,,False,,70,10,sky_sports
2009-10,,Wales,Italy,Wales,Tom Shanklin,22,,False,,63,17,sky_sports
2009-10,,Wales,Italy,Italy,Luke McLean,15,,True,,0,80,sky_sports
2009-10,,Wales,Italy,Italy,Kaine Robertson,14,,True,,0,80,sky_sports
2009-10,,Wales,Italy,Italy,Gonzalo Canale,13,,True,4,0,4,sky_sports
2009-10,,Wales,Italy,Italy,Gonzalo Garcia,12,,True,,0,80,sky_sports
