season,date,home_team,away_team,home_score,away_score,sky_match_id,slug
2009-10,,Wales,Italy,33,10,36033,wales-vs-italy
2009-10,,Ireland,Scotland,20,23,35236,ireland-vs-scotland
2009-10,,France,England,12,10,36180,france-vs-england
2009-10,,France,Italy,46,20,35770,france-vs-italy
2009-10,,Ireland,Wales,27,12,35855,ireland-vs-wales
2009-10,,Scotland,England,15,15,35299,scotland-vs-england
2009-10,,Italy,Scotland,16,12,36471,italy-vs-scotland
2009-10,,England,Ireland,16,20,36388,england-vs-ireland
2009-10,,Wales,France,20,26,35920,wales-vs-france
2009-10,,Italy,England,12,17,35719,italy-vs-england
2009-10,,Wales,Scotland,31,24,35436,wales-vs-scotland
2009-10,,France,Ireland,33,10,35258,france-vs-ireland
2009-10,,Scotland,France,9,18,36247,scotland-vs-france
2009-10,,Ireland,Italy,29,11,36385,ireland-vs-italy
2009-10,,England,Wales,30,17,35713,england-vs-wales
2010-11,,Scotland,Italy,21,8,43182,scotland-vs-italy
2010-11,,Ireland,England,24,8,42516,ireland-vs-england
2010-11,,France,Wales,28,9,42615,france-vs-wales
2010-11,,England,Scotland,22,16,42327,england-vs-scotland
2010-11,,Italy,France,22,21,42890,italy-vs-france
2010-11,,Wales,Ireland,19,13,42861,wales-vs-ireland
2010-11,,Scotland,Ireland,18,21,43554,scotland-vs-ireland
2010-11,,Italy,Wales,16,24,43432,italy-vs-wales
2010-11,,England,France,17,9,42764,england-vs-france
2010-11,,Ireland,France,22,25,43685,ireland-vs-france
2010-11,,England,Italy,59,13,42407,england-vs-italy
2010-11,,Scotland,Wales,6,24,43076,scotland-vs-wales
2010-11,,Italy,Ireland,11,13,43078,italy-vs-ireland
2010-11,,France,Scotland,34,21,42641,france-vs-scotland
2010-11,,Wales,England,19,26,42842,wales-vs-england
2011-12,,Italy,Scotland,13,6,50674,italy-vs-scotland
2011-12,,Wales,France,16,9,49736,wales-vs-france
2011-12,,England,Ireland,30,9,49693,england-vs-ireland
2011-12,,France,England,22,24,50113,france-vs-england
2011-12,,Wales,Italy,24,3,50716,wales-vs-italy
2011-12,,Ireland,Scotland,32,14,50667,ireland-vs-scotland
2011-12,,France,Ireland,17,17,52289,france-vs-ireland
2011-12,,Scotland,France,17,23,50170,scotland-vs-france
2011-12,,Ireland,Italy,42,10,50349,ireland-vs-italy
2011-12,,England,Wales,12,19,49649,england-vs-wales
2011-12,,Wales,Scotland,27,13,50078,wales-vs-scotland
2011-12,,Italy,England,15,19,49947,italy-vs-england
2011-12,,Ireland,Wales,21,23,50630,ireland-vs-wales
2011-12,,France,Italy,30,12,50213,france-vs-italy
2011-12,,Scotland,England,6,13,49936,scotland-vs-england
2012-13,,Italy,Ireland,22,15,56278,italy-vs-ireland
2012-13,,Wales,England,30,3,56282,wales-vs-england
2012-13,,France,Scotland,23,16,56283,france-vs-scotland
2012-13,,England,Italy,18,11,56279,england-vs-italy
2012-13,,Scotland,Wales,18,28,56280,scotland-vs-wales
2012-13,,Ireland,France,13,13,56281,ireland-vs-france
2012-13,,Scotland,Ireland,12,8,56277,scotland-vs-ireland
2012-13,,Italy,Wales,9,26,56275,italy-vs-wales
2012-13,,England,France,23,13,56276,england-vs-france
2012-13,,Ireland,England,6,12,56274,ireland-vs-england
2012-13,,Scotland,Italy,34,10,56272,scotland-vs-italy
2012-13,,France,Wales,6,16,56273,france-vs-wales
2012-13,,Italy,France,23,18,56271,italy-vs-france
2012-13,,Wales,Ireland,22,30,56269,wales-vs-ireland
2012-13,,England,Scotland,38,18,56270,england-vs-scotland
2013-14,,Italy,England,11,52,59409,italy-vs-england
